Breakout
Episode Number,Episode Steps,Reward,Score,Epsilon
0,173,1.0,1.0,0.9996540000000093
1,227,2.0,2.0,0.9992000000000214
2,170,1.0,1.0,0.9988600000000305
3,187,2.0,2.0,0.9984860000000405
4,133,0.0,0.0,0.9982200000000476
5,208,2.0,2.0,0.9978040000000588
6,150,0.0,0.0,0.9975040000000668
7,205,2.0,2.0,0.9970940000000778
8,243,3.0,3.0,0.9966080000000908
9,133,0.0,0.0,0.9963420000000979
10,212,2.0,2.0,0.9959180000001092
11,135,0.0,0.0,0.9956480000001164
12,235,2.0,2.0,0.995178000000129
13,168,1.0,1.0,0.994842000000138
14,146,0.0,0.0,0.9945500000001458
15,134,0.0,0.0,0.994282000000153
