Breakout,,,,,
Episode Number,Episode Steps,Cumulative Steps,Reward,Score,Epsilon
0,173,173,1,1,0.99827
1,228,401,2,2,0.99599
2,210,611,2,2,0.99389
3,170,781,1,1,0.99219
4,212,993,2,2,0.99007
5,205,1198,2,2,0.98802
6,135,1333,0,0,0.98667
7,259,1592,3,3,0.98408
8,201,1793,2,2,0.98207
9,248,2041,3,3,0.97959
10,132,2173,0,0,0.97827
11,294,2467,4,4,0.97533
12,174,2641,1,1,0.97359
13,141,2782,0,0,0.97218
14,134,2916,0,0,0.97084
15,131,3047,0,0,0.96953
16,213,3260,2,2,0.9674
17,158,3418,1,1,0.96582
18,136,3554,0,0,0.96446
19,202,3756,2,2,0.96244
20,200,3956,2,2,0.96044
21,139,4095,0,0,0.95905
22,142,4237,0,0,0.95763
23,174,4411,1,1,0.95589
24,240,4651,3,3,0.95349
25,148,4799,0,0,0.95201
26,131,4930,0,0,0.9507
27,127,5057,0,0,0.94943
28,129,5186,0,0,0.94814
29,171,5357,1,1,0.94643
30,159,5516,1,1,0.94484
31,165,5681,1,1,0.94319
32,289,5970,4,4,0.9403
33,181,6151,1,1,0.93849
34,129,6280,0,0,0.9372
35,234,6514,2,2,0.93486
36,229,6743,2,2,0.93257
37,139,6882,0,0,0.93118
38,359,7241,5,5,0.92759
39,128,7369,0,0,0.92631
40,203,7572,2,2,0.92428
41,133,7705,0,0,0.92295
42,132,7837,0,0,0.92163
43,163,8000,1,1,0.92
44,282,8282,3,3,0.91718
45,187,8469,2,2,0.91531
46,131,8600,0,0,0.914
47,129,8729,0,0,0.91271
48,128,8857,0,0,0.91143
49,134,8991,0,0,0.91009
50,206,9197,2,2,0.90803
51,203,9400,2,2,0.906
52,183,9583,1,1,0.90417
53,163,9746,1,1,0.90254
54,230,9976,2,2,0.90024
55,165,10141,1,1,0.89859
56,189,10330,1,1,0.8967
57,213,10543,2,2,0.89457
58,173,10716,1,1,0.89284
59,155,10871,1,1,0.89129
60,126,10997,0,0,0.89003
61,180,11177,1,1,0.88823
62,131,11308,0,0,0.88692
63,150,11458,0,0,0.88542
64,262,11720,3,3,0.8828
65,188,11908,1,1,0.88092
66,155,12063,1,1,0.87937
67,170,12233,1,1,0.87767
68,216,12449,2,2,0.87551
69,134,12583,0,0,0.87417
70,196,12779,2,2,0.87221
71,268,13047,3,3,0.86953
72,155,13202,1,1,0.86798
73,162,13364,1,1,0.86636
74,134,13498,0,0,0.86502
75,125,13623,0,0,0.86377
76,144,13767,0,0,0.86233
77,136,13903,0,0,0.86097
78,146,14049,0,0,0.85951
79,129,14178,0,0,0.85822
80,132,14310,0,0,0.8569
81,156,14466,0,0,0.85534
82,147,14613,0,0,0.85387
83,166,14779,1,1,0.85221
84,145,14924,0,0,0.85076
85,150,15074,0,0,0.84926
86,160,15234,1,1,0.84766
87,278,15512,3,3,0.84488
88,189,15701,1,1,0.84299
89,255,15956,3,3,0.84044
90,204,16160,2,2,0.8384
91,134,16294,0,0,0.83706
92,135,16429,0,0,0.83571
93,125,16554,0,0,0.83446
94,202,16756,2,2,0.83244
95,155,16911,0,0,0.83089
96,179,17090,1,1,0.8291
97,193,17283,1,1,0.82717
98,309,17592,4,4,0.82408
99,211,17803,2,2,0.82197
100,174,17977,1,1,0.82023
101,180,18157,1,1,0.81843
102,171,18328,1,1,0.81672
103,126,18454,0,0,0.81546
104,125,18579,0,0,0.81421
105,134,18713,0,0,0.81287
106,128,18841,0,0,0.81159
107,134,18975,0,0,0.81025
108,270,19245,3,3,0.80755
109,145,19390,0,0,0.8061
110,182,19572,1,1,0.80428
111,181,19753,1,1,0.80247
112,128,19881,0,0,0.80119
113,280,20161,3,3,0.79839
114,181,20342,1,1,0.79658
115,141,20483,0,0,0.79517
116,162,20645,0,0,0.79355
117,145,20790,0,0,0.7921
118,145,20935,0,0,0.79065
119,133,21068,0,0,0.78932
120,172,21240,1,1,0.7876
121,195,21435,2,2,0.78565
122,148,21583,0,0,0.78417
123,191,21774,1,1,0.78226
124,158,21932,1,1,0.78068
125,312,22244,4,4,0.77756
126,184,22428,1,1,0.77572
127,213,22641,2,2,0.77359
128,141,22782,0,0,0.77218
129,293,23075,4,4,0.76925
130,145,23220,0,0,0.7678
131,154,23374,1,1,0.76626
132,154,23528,0,0,0.76472
133,143,23671,0,0,0.76329
134,138,23809,0,0,0.76191
135,139,23948,0,0,0.76052
136,144,24092,0,0,0.75908
137,212,24304,2,2,0.75696
138,185,24489,1,1,0.75511
139,314,24803,4,4,0.75197
140,132,24935,0,0,0.75065
141,257,25192,3,3,0.74808
142,141,25333,0,0,0.74667
143,129,25462,0,0,0.74538
144,133,25595,0,0,0.74405
145,128,25723,0,0,0.74277
146,187,25910,1,1,0.7409
147,200,26110,2,2,0.7389
148,135,26245,0,0,0.73755
149,282,26527,3,3,0.73473
150,145,26672,0,0,0.73328
151,130,26802,0,0,0.73198
152,195,26997,1,1,0.73003
153,137,27134,0,0,0.72866
154,146,27280,0,0,0.7272
155,131,27411,0,0,0.72589
156,164,27575,1,1,0.72425
157,143,27718,0,0,0.72282
158,134,27852,0,0,0.72148
159,146,27998,0,0,0.72002
160,179,28177,1,1,0.71823
161,235,28412,3,3,0.71588
162,203,28615,1,1,0.71385
163,172,28787,1,1,0.71213
