Breakout
Episode Number,Episode Steps,Reward,Score,Epsilon
6871,713,20.0,23.0,0.05
6872,1128,32.0,47.0,0.05
6873,1115,33.0,51.0,0.05
6874,691,21.0,33.0,0.05
6875,799,23.0,38.0,0.05
6876,770,20.0,29.0,0.05
6877,800,24.0,48.0,0.05
6878,792,22.0,37.0,0.05
6879,933,27.0,36.0,0.05
6880,761,23.0,38.0,0.05
6881,793,20.0,26.0,0.05
6882,1471,43.0,85.0,0.05
6883,1582,44.0,86.0,0.05
6884,1225,33.0,51.0,0.05
6885,952,26.0,38.0,0.05
6886,1012,29.0,50.0,0.05
6887,868,22.0,25.0,0.05
6888,1051,30.0,51.0,0.05
6889,915,27.0,51.0,0.05
6890,1157,32.0,44.0,0.05
6891,1144,32.0,50.0,0.05
6892,1082,32.0,62.0,0.05
6893,775,25.0,43.0,0.05
6894,706,19.0,28.0,0.05
6895,1192,35.0,59.0,0.05
6896,1390,39.0,60.0,0.05
6897,738,18.0,21.0,0.05
6898,1285,35.0,59.0,0.05
6899,758,22.0,34.0,0.05
6900,1195,33.0,54.0,0.05
6901,581,16.0,22.0,0.05
6902,995,24.0,30.0,0.05
6903,798,19.0,31.0,0.05
6904,1050,27.0,39.0,0.05
6905,1002,27.0,39.0,0.05
6906,1046,27.0,48.0,0.05
6907,945,28.0,43.0,0.05
6908,1011,32.0,56.0,0.05
6909,1024,25.0,40.0,0.05
6910,1073,24.0,30.0,0.05
6911,646,18.0,30.0,0.05
6912,1261,36.0,63.0,0.05
6913,1020,26.0,38.0,0.05
6914,1262,39.0,66.0,0.05
6915,683,13.0,19.0,0.05
6916,849,23.0,35.0,0.05
6917,717,21.0,30.0,0.05
6918,899,24.0,39.0,0.05
6919,967,26.0,35.0,0.05
6920,1127,26.0,38.0,0.05
6921,1417,64.0,271.0,0.05
6922,1281,32.0,44.0,0.05
6923,1373,39.0,69.0,0.05
6924,1145,33.0,48.0,0.05
6925,854,20.0,20.0,0.05
6926,539,14.0,14.0,0.05
6927,909,25.0,37.0,0.05
6928,1136,34.0,58.0,0.05
6929,969,29.0,44.0,0.05
6930,1360,39.0,84.0,0.05
6931,661,18.0,21.0,0.05
6932,1070,27.0,33.0,0.05
6933,1069,32.0,56.0,0.05
6934,929,28.0,49.0,0.05
6935,1119,33.0,57.0,0.05
6936,1026,28.0,40.0,0.05
6937,788,21.0,21.0,0.05
6938,1183,29.0,41.0,0.05
6939,1135,32.0,50.0,0.05
6940,1371,39.0,66.0,0.05
6941,1160,31.0,49.0,0.05
6942,617,17.0,23.0,0.05
6943,1141,32.0,44.0,0.05
6944,1088,28.0,46.0,0.05
6945,941,28.0,46.0,0.05
6946,957,28.0,52.0,0.05
6947,789,23.0,41.0,0.05
6948,679,17.0,32.0,0.05
6949,1205,32.0,47.0,0.05
6950,1105,30.0,48.0,0.05
6951,972,28.0,55.0,0.05
6952,1133,32.0,47.0,0.05
6953,843,25.0,34.0,0.05
6954,854,22.0,34.0,0.05
6955,825,26.0,41.0,0.05
6956,1320,39.0,72.0,0.05
6957,1075,30.0,48.0,0.05
6958,902,26.0,41.0,0.05
6959,940,24.0,33.0,0.05
6960,1452,40.0,61.0,0.05
6961,959,26.0,44.0,0.05
6962,856,24.0,39.0,0.05
6963,1215,37.0,67.0,0.05
6964,1110,31.0,52.0,0.05
6965,852,23.0,29.0,0.05
6966,1351,39.0,63.0,0.05
6967,1092,29.0,53.0,0.05
6968,987,27.0,48.0,0.05
6969,924,27.0,39.0,0.05
6970,891,25.0,34.0,0.05
6971,1279,36.0,63.0,0.05
6972,1134,30.0,51.0,0.05
6973,706,18.0,30.0,0.05
6974,1018,28.0,37.0,0.05
6975,1576,41.0,68.0,0.05
6976,1001,24.0,27.0,0.05
6977,1033,28.0,40.0,0.05
6978,907,25.0,31.0,0.05
6979,1316,36.0,60.0,0.05
6980,1189,35.0,53.0,0.05
6981,995,26.0,38.0,0.05
6982,874,20.0,29.0,0.05
6983,929,25.0,25.0,0.05
6984,1195,34.0,64.0,0.05
6985,1222,35.0,59.0,0.05
6986,1156,33.0,57.0,0.05
6987,852,23.0,29.0,0.05
6988,863,22.0,28.0,0.05
6989,939,28.0,40.0,0.05
6990,1133,32.0,44.0,0.05
6991,797,24.0,33.0,0.05
6992,664,19.0,31.0,0.05
6993,923,25.0,31.0,0.05
6994,654,19.0,37.0,0.05
6995,852,24.0,48.0,0.05
6996,645,20.0,35.0,0.05
6997,1092,30.0,45.0,0.05
6998,852,24.0,30.0,0.05
6999,905,28.0,46.0,0.05
7000,1040,30.0,45.0,0.05
7001,906,26.0,47.0,0.05
7002,1397,41.0,86.0,0.05
7003,951,25.0,28.0,0.05
7004,751,23.0,38.0,0.05
7005,896,24.0,33.0,0.05
7006,1018,28.0,46.0,0.05
7007,1570,44.0,74.0,0.05
7008,1075,29.0,47.0,0.05
7009,832,24.0,33.0,0.05
7010,1241,34.0,55.0,0.05
7011,1095,30.0,51.0,0.05
7012,541,14.0,23.0,0.05
7013,611,15.0,18.0,0.05
7014,1641,45.0,81.0,0.05
7015,573,15.0,15.0,0.05
7016,748,19.0,25.0,0.05
7017,922,27.0,42.0,0.05
7018,1375,39.0,63.0,0.05
