Breakout
Episode Number,Episode Steps,Reward,Score,Epsilon
0,173,1.0,1.0,0.9996540000000093
1,227,2.0,2.0,0.9992000000000214
2,170,1.0,1.0,0.9988600000000305
3,187,2.0,2.0,0.9984860000000405
4,133,0.0,0.0,0.9982200000000476
5,202,2.0,2.0,0.9978160000000584
6,125,0.0,0.0,0.9975660000000651
7,132,0.0,0.0,0.9973020000000722
8,163,1.0,1.0,0.9969760000000809
9,186,1.0,1.0,0.9966040000000909
10,134,0.0,0.0,0.996336000000098
11,214,2.0,2.0,0.9959080000001095
12,135,0.0,0.0,0.9956380000001167
13,185,1.0,1.0,0.9952680000001266
14,139,0.0,0.0,0.994990000000134
15,164,1.0,1.0,0.9946620000001428
16,138,0.0,0.0,0.9943860000001502
17,142,0.0,0.0,0.9941020000001578
18,136,0.0,0.0,0.9938300000001651
19,164,1.0,1.0,0.9935020000001739
20,145,0.0,0.0,0.9932120000001816
21,127,0.0,0.0,0.9929580000001884
22,202,2.0,2.0,0.9925540000001992
23,218,2.0,2.0,0.9921180000002109
24,293,3.0,3.0,0.9915320000002266
25,122,0.0,0.0,0.9912880000002331
26,173,1.0,1.0,0.9909420000002424
27,144,0.0,0.0,0.9906540000002501
28,213,2.0,2.0,0.9902280000002615
29,136,0.0,0.0,0.9899560000002687
30,168,1.0,1.0,0.9896200000002777
31,138,0.0,0.0,0.9893440000002851
32,171,1.0,1.0,0.9890020000002943
33,129,0.0,0.0,0.9887440000003012
34,159,1.0,1.0,0.9884260000003097
35,192,2.0,2.0,0.9880420000003199
36,166,1.0,1.0,0.9877100000003288
37,212,2.0,2.0,0.9872860000003402
38,205,2.0,2.0,0.9868760000003511
39,205,2.0,2.0,0.9864660000003621
40,168,1.0,1.0,0.9861300000003711
41,187,1.0,1.0,0.9857560000003811
42,139,0.0,0.0,0.9854780000003885
43,168,1.0,1.0,0.9851420000003975
44,129,0.0,0.0,0.9848840000004044
45,131,0.0,0.0,0.9846220000004114
46,134,0.0,0.0,0.9843540000004186
47,234,3.0,3.0,0.9838860000004311
48,205,2.0,2.0,0.9834760000004421
49,191,2.0,2.0,0.9830940000004523
50,174,1.0,1.0,0.9827460000004616
51,304,5.0,5.0,0.9821380000004779
52,135,0.0,0.0,0.9818680000004851
53,135,0.0,0.0,0.9815980000004924
54,129,0.0,0.0,0.9813400000004993
55,153,0.0,0.0,0.9810340000005074
56,178,1.0,1.0,0.980678000000517
57,139,0.0,0.0,0.9804000000005244
58,184,2.0,2.0,0.9800320000005343
59,135,0.0,0.0,0.9797620000005415
60,181,1.0,1.0,0.9794000000005512
61,278,3.0,3.0,0.978844000000566
62,134,0.0,0.0,0.9785760000005732
63,208,2.0,2.0,0.9781600000005843
64,156,1.0,1.0,0.9778480000005927
65,214,2.0,2.0,0.9774200000006041
66,211,2.0,2.0,0.9769980000006154
67,139,0.0,0.0,0.9767200000006229
68,136,0.0,0.0,0.9764480000006301
69,320,5.0,5.0,0.9758080000006473
70,184,1.0,1.0,0.9754400000006571
71,139,0.0,0.0,0.9751620000006646
72,145,0.0,0.0,0.9748720000006723
73,139,0.0,0.0,0.9745940000006797
74,239,2.0,2.0,0.9741160000006925
