Breakout
Episode Number,Episode Steps,Reward,Score,Epsilon
0,173,1.0,1.0,0.9996540000000093
1,227,2.0,2.0,0.9992000000000214
2,169,1.0,1.0,0.9988620000000304
3,187,2.0,2.0,0.9984880000000405
4,133,0.0,0.0,0.9982220000000476
5,208,2.0,2.0,0.9978060000000587
6,150,0.0,0.0,0.9975060000000667
7,206,2.0,2.0,0.9970940000000778
8,243,3.0,3.0,0.9966080000000908
9,132,0.0,0.0,0.9963440000000978
10,184,1.0,1.0,0.9959760000001077
11,135,0.0,0.0,0.9957060000001149
12,243,3.0,3.0,0.9952200000001279
13,174,1.0,1.0,0.9948720000001372
14,146,0.0,0.0,0.994580000000145
15,206,2.0,2.0,0.994168000000156
16,141,0.0,0.0,0.9938860000001636
17,212,2.0,2.0,0.9934620000001749
18,134,0.0,0.0,0.9931940000001821
19,286,3.0,3.0,0.9926220000001974
20,223,2.0,2.0,0.9921760000002093
21,185,1.0,1.0,0.9918060000002192
22,137,0.0,0.0,0.9915320000002266
23,188,2.0,2.0,0.9911560000002366
24,196,2.0,2.0,0.9907640000002471
25,141,0.0,0.0,0.9904820000002547
26,207,2.0,2.0,0.9900680000002657
27,219,2.0,2.0,0.9896300000002775
28,139,0.0,0.0,0.9893520000002849
29,287,3.0,3.0,0.9887780000003003
30,218,2.0,2.0,0.9883420000003119
31,124,0.0,0.0,0.9880940000003186
32,180,1.0,1.0,0.9877340000003282
33,213,2.0,2.0,0.9873080000003396
34,286,4.0,4.0,0.9867360000003549
35,147,0.0,0.0,0.9864420000003628
36,171,1.0,1.0,0.9861000000003719
37,134,0.0,0.0,0.9858320000003791
38,282,4.0,4.0,0.9852680000003942
39,132,0.0,0.0,0.9850040000004012
40,130,0.0,0.0,0.9847440000004082
41,127,0.0,0.0,0.984490000000415
42,181,1.0,1.0,0.9841280000004247
43,171,1.0,1.0,0.9837860000004338
44,174,1.0,1.0,0.9834380000004431
45,248,4.0,4.0,0.9829420000004564
46,129,0.0,0.0,0.9826840000004633
47,182,1.0,1.0,0.982320000000473
48,148,0.0,0.0,0.982024000000481
49,315,4.0,4.0,0.9813940000004978
50,130,0.0,0.0,0.9811340000005048
51,191,1.0,1.0,0.980752000000515
52,171,1.0,1.0,0.9804100000005241
53,153,1.0,1.0,0.9801040000005323
54,176,1.0,1.0,0.9797520000005417
55,202,2.0,2.0,0.9793480000005526
56,212,2.0,2.0,0.9789240000005639
57,133,0.0,0.0,0.978658000000571
58,236,3.0,3.0,0.9781860000005836
59,162,1.0,1.0,0.9778620000005923
60,136,0.0,0.0,0.9775900000005996
61,135,0.0,0.0,0.9773200000006068
62,181,1.0,1.0,0.9769580000006165
63,133,0.0,0.0,0.9766920000006236
64,134,0.0,0.0,0.9764240000006308
65,155,1.0,1.0,0.9761140000006391
66,144,0.0,0.0,0.9758260000006468
67,222,2.0,2.0,0.9753820000006587
68,194,1.0,1.0,0.974994000000669
69,134,0.0,0.0,0.9747260000006762
70,141,0.0,0.0,0.9744440000006838
71,218,2.0,2.0,0.9740080000006954
72,205,2.0,2.0,0.9735980000007064
73,133,0.0,0.0,0.9733320000007135
74,135,0.0,0.0,0.9730620000007207
