MsPacman
Episode Number,Episode Steps,Reward,Score,Epsilon
0,445,21.0,210.0,0.9991100000000238
1,505,33.0,330.0,0.9981000000000508
2,525,27.0,270.0,0.9970500000000789
3,467,12.0,120.0,0.9961160000001039
4,399,14.0,140.0,0.9953180000001253
5,489,31.0,310.0,0.9943400000001514
6,463,18.0,180.0,0.9934140000001762
7,457,23.0,230.0,0.9925000000002007
8,411,18.0,180.0,0.9916780000002227
9,429,12.0,120.0,0.9908200000002456
10,355,16.0,160.0,0.9901100000002646
11,379,18.0,180.0,0.9893520000002849
12,497,27.0,270.0,0.9883580000003115
13,517,30.0,300.0,0.9873240000003392
14,471,25.0,250.0,0.9863820000003644
15,525,25.0,250.0,0.9853320000003924
16,527,27.0,270.0,0.9842780000004206
17,593,37.0,370.0,0.9830920000004524
18,481,24.0,240.0,0.9821300000004781
19,523,26.0,260.0,0.9810840000005061
20,451,24.0,240.0,0.9801820000005302
21,697,44.0,1060.0,0.9787880000005675
22,487,17.0,170.0,0.9778140000005936
23,543,33.0,330.0,0.9767280000006227
24,495,31.0,310.0,0.9757380000006491
25,535,28.0,280.0,0.9746680000006778
26,481,16.0,160.0,0.9737060000007035
27,423,19.0,190.0,0.9728600000007261
28,601,35.0,350.0,0.9716580000007583
29,575,21.0,210.0,0.9705080000007891
30,483,25.0,250.0,0.9695420000008149
31,491,26.0,260.0,0.9685600000008412
32,447,15.0,150.0,0.9676660000008651
33,443,23.0,230.0,0.9667800000008888
34,565,44.0,440.0,0.965650000000919
35,727,38.0,380.0,0.964196000000958
36,505,28.0,280.0,0.963186000000985
37,405,18.0,180.0,0.9623760000010066
38,513,23.0,230.0,0.9613500000010341
39,403,15.0,150.0,0.9605440000010557
40,467,29.0,290.0,0.9596100000010807
41,709,39.0,390.0,0.9581920000011186
42,421,15.0,150.0,0.9573500000011411
43,541,21.0,210.0,0.9562680000011701
44,417,17.0,170.0,0.9554340000011924
45,417,18.0,180.0,0.9546000000012147
46,365,18.0,180.0,0.9538700000012342
47,457,18.0,180.0,0.9529560000012587
48,455,18.0,180.0,0.952046000001283
49,359,19.0,190.0,0.9513280000013022
50,449,24.0,240.0,0.9504300000013263
51,405,24.0,240.0,0.9496200000013479
52,509,17.0,170.0,0.9486020000013752
53,523,24.0,240.0,0.9475560000014032
54,475,28.0,280.0,0.9466060000014286
55,497,30.0,300.0,0.9456120000014552
56,475,23.0,230.0,0.9446620000014806
57,417,23.0,230.0,0.9438280000015029
58,497,22.0,220.0,0.9428340000015295
59,431,28.0,280.0,0.9419720000015526
60,397,24.0,240.0,0.9411780000015738
61,449,24.0,240.0,0.9402800000015978
62,765,47.0,510.0,0.9387500000016388
63,491,23.0,230.0,0.937768000001665
64,421,17.0,170.0,0.9369260000016876
65,513,27.0,270.0,0.935900000001715
66,385,13.0,130.0,0.9351300000017356
67,539,28.0,280.0,0.9340520000017645
68,559,25.0,250.0,0.9329340000017944
69,449,25.0,250.0,0.9320360000018184
70,553,29.0,290.0,0.930930000001848
71,701,36.0,360.0,0.9295280000018855
72,543,21.0,210.0,0.9284420000019146
73,433,31.0,310.0,0.9275760000019377
74,711,37.0,410.0,0.9261540000019758
75,527,29.0,290.0,0.925100000002004
76,271,9.0,90.0,0.9245580000020185
77,281,10.0,100.0,0.9239960000020335
78,459,15.0,150.0,0.9230780000020581
79,403,16.0,160.0,0.9222720000020797
80,267,8.0,80.0,0.9217380000020939
81,549,25.0,250.0,0.9206400000021233
82,425,23.0,230.0,0.9197900000021461
83,513,26.0,260.0,0.9187640000021735
84,525,21.0,210.0,0.9177140000022016
85,615,27.0,270.0,0.9164840000022345
86,343,11.0,110.0,0.9157980000022529
87,481,18.0,180.0,0.9148360000022786
88,435,18.0,180.0,0.9139660000023019
89,473,18.0,180.0,0.9130200000023272
90,439,20.0,200.0,0.9121420000023507
91,485,13.0,130.0,0.9111720000023766
92,655,32.0,320.0,0.9098620000024117
93,423,25.0,250.0,0.9090160000024343
94,649,38.0,380.0,0.907718000002469
95,477,24.0,240.0,0.9067640000024946
96,509,27.0,270.0,0.9057460000025218
97,405,13.0,130.0,0.9049360000025435
98,401,17.0,170.0,0.9041340000025649
99,431,20.0,200.0,0.903272000002588
100,561,25.0,250.0,0.902150000002618
101,915,64.0,1350.0,0.900320000002667
102,425,16.0,160.0,0.8994700000026897
103,501,32.0,320.0,0.8984680000027165
104,447,28.0,280.0,0.8975740000027405
105,665,45.0,490.0,0.896244000002776
106,515,25.0,250.0,0.8952140000028036
107,545,27.0,270.0,0.8941240000028328
108,453,28.0,280.0,0.893218000002857
109,529,25.0,250.0,0.8921600000028853
110,489,22.0,220.0,0.8911820000029115
111,465,21.0,210.0,0.8902520000029364
112,483,24.0,240.0,0.8892860000029622
113,357,24.0,240.0,0.8885720000029813
