Pong,,,,
Episode Number,Episode Steps,Reward,Score,Epsilon
0,911,-21,-21,0.998178
1,930,-20,-20,0.996318
2,942,-21,-21,0.994434
3,783,-21,-21,0.992868
4,974,-21,-21,0.99092
5,941,-20,-20,0.989038
6,1078,-20,-20,0.986882
7,888,-21,-21,0.985106
8,931,-21,-21,0.983244
9,989,-20,-20,0.981266
10,792,-21,-21,0.979682
11,783,-21,-21,0.978116
12,912,-21,-21,0.976292
13,884,-21,-21,0.974524
14,964,-20,-20,0.972596
15,950,-20,-20,0.970696
16,838,-20,-20,0.96902
17,792,-21,-21,0.967436
18,1030,-21,-21,0.965376
19,932,-21,-21,0.963512
20,842,-20,-20,0.961828
21,1020,-20,-20,0.959788
22,872,-20,-20,0.958044
23,1044,-19,-19,0.955956
24,963,-20,-20,0.95403
25,1178,-20,-20,0.951674
26,1097,-19,-19,0.94948
27,1053,-19,-19,0.947374
28,882,-21,-21,0.94561
29,899,-21,-21,0.943812
30,1071,-20,-20,0.94167
31,994,-19,-19,0.939682
32,842,-20,-20,0.937998
33,932,-20,-20,0.936134
34,1146,-18,-18,0.933842
35,1011,-19,-19,0.93182
36,764,-21,-21,0.930292
37,883,-21,-21,0.928526
38,872,-20,-20,0.926782
39,993,-20,-20,0.924796
40,965,-21,-21,0.922866
41,1062,-21,-21,0.920742
42,884,-21,-21,0.918974
43,855,-21,-21,0.917264
44,1062,-19,-19,0.91514
45,1009,-20,-20,0.913122
46,792,-21,-21,0.911538
47,824,-21,-21,0.90989
48,938,-20,-20,0.908014
49,970,-21,-21,0.906074
50,861,-21,-21,0.904352
51,932,-21,-21,0.902488
52,920,-21,-21,0.900648
53,824,-21,-21,0.899
54,852,-21,-21,0.897296
55,951,-20,-20,0.895394
56,1007,-20,-20,0.89338
57,931,-20,-20,0.891518
58,824,-21,-21,0.88987
59,979,-20,-20,0.887912
60,852,-21,-21,0.886208
61,1061,-20,-20,0.884086
62,844,-21,-21,0.882398
63,1057,-19,-19,0.880284
64,826,-21,-21,0.878632
65,824,-21,-21,0.876984
66,792,-21,-21,0.8754
67,937,-19,-19,0.873526
68,872,-20,-20,0.871782
69,924,-21,-21,0.869934
70,973,-21,-21,0.867988
71,912,-21,-21,0.866164
72,848,-21,-21,0.864468
73,838,-20,-20,0.862792
74,852,-21,-21,0.861088
75,997,-21,-21,0.859094
76,963,-20,-20,0.857168
77,841,-21,-21,0.855486
78,842,-20,-20,0.853802
79,764,-21,-21,0.852274
80,972,-19,-19,0.85033
81,957,-21,-21,0.848416
82,945,-21,-21,0.846526
83,842,-20,-20,0.844842
84,898,-21,-21,0.843046
85,852,-21,-21,0.841342
86,887,-20,-20,0.839568
87,844,-21,-21,0.83788
88,848,-21,-21,0.836184
89,824,-21,-21,0.834536
90,867,-21,-21,0.832802
91,844,-21,-21,0.831114
92,919,-20,-20,0.829276
93,826,-21,-21,0.827624
94,870,-20,-20,0.825884
95,912,-21,-21,0.82406
96,992,-20,-20,0.822076
97,792,-21,-21,0.820492
98,1163,-19,-19,0.818166
99,1049,-21,-21,0.816068
100,764,-21,-21,0.81454
101,976,-21,-21,0.812588
102,982,-21,-21,0.810624
103,820,-21,-21,0.808984
104,982,-20,-20,0.80702
105,782,-21,-21,0.805456
106,980,-20,-20,0.803496
107,764,-21,-21,0.801968
108,1020,-20,-20,0.799928
109,1045,-19,-19,0.797838
110,888,-21,-21,0.796062
111,940,-21,-21,0.794182
112,854,-21,-21,0.792474
113,870,-20,-20,0.790734
114,964,-21,-21,0.788806
115,792,-21,-21,0.787222
116,961,-21,-21,0.7853
117,811,-21,-21,0.783678
118,998,-19,-19,0.781682
119,914,-21,-21,0.779854
120,764,-21,-21,0.778326
121,764,-21,-21,0.776798
122,1058,-20,-20,0.774682
123,948,-20,-20,0.772786
124,1008,-19,-19,0.77077
125,886,-21,-21,0.768998
126,930,-20,-20,0.767138
127,824,-21,-21,0.76549
128,885,-21,-21,0.76372
129,792,-21,-21,0.762136
130,952,-20,-20,0.760232
131,944,-19,-19,0.758344
132,824,-21,-21,0.756696
