Seaquest
Episode Number,Episode Steps,Reward,Score,Epsilon
0,658,6.0,120.0,0.9980260000000163
1,484,2.0,40.0,0.9965740000000283
2,370,1.0,20.0,0.9954640000000374
3,555,4.0,80.0,0.9937990000000512
4,556,5.0,100.0,0.9921310000000649
5,415,1.0,20.0,0.9908860000000752
6,627,5.0,100.0,0.9890050000000907
7,692,8.0,160.0,0.9869290000001079
8,1005,10.0,200.0,0.9839140000001327
9,536,5.0,100.0,0.982306000000146
10,422,4.0,80.0,0.9810400000001565
11,511,4.0,80.0,0.9795070000001691
12,562,4.0,80.0,0.977821000000183
13,575,5.0,100.0,0.9760960000001973
14,437,3.0,60.0,0.9747850000002081
15,484,5.0,100.0,0.97333300000022
16,445,2.0,40.0,0.9719980000002311
17,308,0.0,0.0,0.9710740000002387
18,456,3.0,60.0,0.96970600000025
19,356,1.0,20.0,0.9686380000002588
20,459,2.0,40.0,0.9672610000002702
21,408,1.0,20.0,0.9660370000002803
22,505,4.0,80.0,0.9645220000002928
23,844,7.0,140.0,0.9619900000003136
24,664,6.0,120.0,0.9599980000003301
25,610,5.0,100.0,0.9581680000003452
26,489,3.0,60.0,0.9567010000003573
27,414,3.0,60.0,0.9554590000003675
28,539,4.0,80.0,0.9538420000003809
29,558,6.0,120.0,0.9521680000003947
30,506,5.0,100.0,0.9506500000004072
31,862,8.0,160.0,0.9480640000004286
32,428,2.0,40.0,0.9467800000004392
33,450,3.0,60.0,0.9454300000004503
34,417,3.0,60.0,0.9441790000004606
35,558,4.0,80.0,0.9425050000004744
36,411,3.0,80.0,0.9412720000004846
37,741,6.0,140.0,0.939049000000503
38,300,0.0,0.0,0.9381490000005104
39,608,5.0,100.0,0.9363250000005254
40,925,10.0,200.0,0.9335500000005483
41,381,1.0,20.0,0.9324070000005578
42,388,2.0,40.0,0.9312430000005674
43,518,5.0,100.0,0.9296890000005802
44,574,4.0,80.0,0.9279670000005944
45,406,1.0,20.0,0.9267490000006045
46,480,2.0,40.0,0.9253090000006163
47,579,5.0,100.0,0.9235720000006307
