SpaceInvaders
Episode Number,Episode Steps,Reward,Score,Epsilon
0,378,8.0,100.0,0.9988660000000094
1,911,12.0,390.0,0.9961330000000319
2,1439,12.0,210.0,0.9918160000000675
3,601,5.0,45.0,0.9900130000000824
4,921,16.0,210.0,0.9872500000001052
5,658,4.0,50.0,0.9852760000001215
6,788,8.0,120.0,0.982912000000141
7,508,7.0,90.0,0.9813880000001536
8,471,5.0,45.0,0.9799750000001652
9,440,2.0,15.0,0.9786550000001761
10,552,5.0,75.0,0.9769990000001898
11,931,13.0,215.0,0.9742060000002128
12,859,14.0,210.0,0.9716290000002341
13,918,21.0,505.0,0.9688750000002568
14,751,13.0,215.0,0.9666220000002754
15,769,8.0,120.0,0.9643150000002945
16,658,9.0,135.0,0.9623410000003108
17,729,11.0,180.0,0.9601540000003288
18,769,10.0,150.0,0.9578470000003478
19,581,8.0,105.0,0.9561040000003622
20,1053,19.0,280.0,0.9529450000003883
21,514,7.0,80.0,0.951403000000401
22,614,7.0,95.0,0.9495610000004162
23,505,5.0,45.0,0.9480460000004287
24,379,5.0,55.0,0.9469090000004381
25,682,9.0,145.0,0.944863000000455
26,387,5.0,45.0,0.9437020000004646
27,809,12.0,185.0,0.9412750000004846
28,754,10.0,160.0,0.9390130000005033
29,1082,18.0,315.0,0.93576700000053
30,747,13.0,185.0,0.9335260000005485
31,687,8.0,310.0,0.9314650000005655
32,421,6.0,80.0,0.930202000000576
33,593,8.0,125.0,0.9284230000005906
34,760,6.0,105.0,0.9261430000006095
35,753,13.0,240.0,0.9238840000006281
36,1504,16.0,455.0,0.9193720000006653
37,385,6.0,60.0,0.9182170000006749
38,643,7.0,110.0,0.9162880000006908
39,1008,14.0,415.0,0.9132640000007157
40,881,15.0,240.0,0.9106210000007375
41,707,9.0,135.0,0.908500000000755
42,402,5.0,45.0,0.907294000000765
43,416,9.0,135.0,0.9060460000007753
44,932,16.0,460.0,0.9032500000007984
45,897,14.0,415.0,0.9005590000008206
46,592,7.0,90.0,0.8987830000008352
47,801,12.0,210.0,0.896380000000855
48,363,4.0,50.0,0.895291000000864
49,996,17.0,290.0,0.8923030000008887
50,653,7.0,90.0,0.8903440000009049
51,619,10.0,155.0,0.8884870000009202
52,387,5.0,55.0,0.8873260000009298
53,655,9.0,135.0,0.885361000000946
54,746,11.0,180.0,0.8831230000009644
55,727,6.0,105.0,0.8809420000009824
56,604,6.0,65.0,0.8791300000009974
57,549,7.0,90.0,0.877483000001011
58,523,6.0,80.0,0.8759140000010239
59,500,9.0,125.0,0.8744140000010363
60,669,9.0,135.0,0.8724070000010529
61,808,13.0,195.0,0.8699830000010729
62,693,8.0,120.0,0.86790400000109
63,1099,11.0,180.0,0.8646070000011172
64,1331,22.0,375.0,0.8606140000011502
65,887,19.0,300.0,0.8579530000011721
66,573,9.0,160.0,0.8562340000011863
67,825,16.0,245.0,0.8537590000012067
68,613,7.0,90.0,0.8519200000012219
69,706,8.0,120.0,0.8498020000012394
70,741,12.0,210.0,0.8475790000012577
71,609,5.0,45.0,0.8457520000012728
72,634,10.0,155.0,0.8438500000012885
73,767,9.0,135.0,0.8415490000013075
74,633,10.0,150.0,0.8396500000013232
75,752,9.0,135.0,0.8373940000013418
76,656,11.0,180.0,0.835426000001358
77,687,8.0,120.0,0.833365000001375
78,517,10.0,155.0,0.8318140000013878
79,506,5.0,80.0,0.8302960000014004
80,527,9.0,135.0,0.8287150000014134
81,747,8.0,125.0,0.8264740000014319
82,443,7.0,80.0,0.8251450000014429
83,835,11.0,180.0,0.8226400000014635
84,607,7.0,80.0,0.8208190000014786
85,876,13.0,195.0,0.8181910000015002
86,639,9.0,135.0,0.8162740000015161
87,341,4.0,30.0,0.8152510000015245
88,389,7.0,85.0,0.8140840000015341
89,509,5.0,55.0,0.8125570000015467
90,529,5.0,75.0,0.8109700000015598
91,518,8.0,120.0,0.8094160000015727
92,1534,16.0,440.0,0.8048140000016106
93,773,10.0,155.0,0.8024950000016298
94,716,9.0,105.0,0.8003470000016475
95,619,6.0,105.0,0.7984900000016628
96,643,10.0,160.0,0.7965610000016787
97,373,7.0,80.0,0.795442000001688
98,768,11.0,355.0,0.793138000001707
99,573,7.0,110.0,0.7914190000017212
100,828,9.0,125.0,0.7889350000017417
101,397,5.0,55.0,0.7877440000017515
102,695,12.0,210.0,0.7856590000017687
103,755,12.0,210.0,0.7833940000017874
104,807,13.0,175.0,0.7809730000018074
105,472,5.0,45.0,0.779557000001819
106,918,17.0,255.0,0.7768030000018418
107,919,12.0,210.0,0.7740460000018645
108,659,12.0,185.0,0.7720690000018808
109,803,12.0,210.0,0.7696600000019007
110,549,5.0,55.0,0.7680130000019143
111,691,12.0,210.0,0.7659400000019314
112,361,6.0,60.0,0.7648570000019403
113,670,8.0,105.0,0.7628470000019569
114,1027,19.0,290.0,0.7597660000019824
115,713,10.0,155.0,0.757627000002
116,850,8.0,115.0,0.755077000002021
117,395,3.0,30.0,0.7538920000020308
118,725,8.0,120.0,0.7517170000020488
119,520,3.0,30.0,0.7501570000020616
120,959,19.0,315.0,0.7472800000020854
121,553,1.0,5.0,0.7456210000020991
122,607,9.0,135.0,0.7438000000021141
123,1265,14.0,225.0,0.7400050000021454
124,486,6.0,70.0,0.7385470000021574
125,1190,16.0,440.0,0.7349770000021869
126,374,5.0,45.0,0.7338550000021962
127,1359,16.0,415.0,0.7297780000022298
128,619,10.0,150.0,0.7279210000022451
129,552,6.0,65.0,0.7262650000022588
130,548,6.0,50.0,0.7246210000022724
131,396,3.0,20.0,0.7234330000022822
132,865,16.0,440.0,0.7208380000023036
133,536,10.0,150.0,0.7192300000023168
134,523,6.0,105.0,0.7176610000023298
135,746,6.0,50.0,0.7154230000023483
136,945,10.0,140.0,0.7125880000023717
137,1005,19.0,475.0,0.7095730000023965
138,629,5.0,40.0,0.7076860000024121
139,589,4.0,25.0,0.7059190000024267
140,711,10.0,140.0,0.7037860000024443
141,503,1.0,5.0,0.7022770000024567
142,494,5.0,50.0,0.700795000002469
143,558,14.0,200.0,0.6991210000024828
144,1197,16.0,220.0,0.6955300000025124
145,645,8.0,110.0,0.6935950000025284
146,634,6.0,80.0,0.6916930000025441
147,670,8.0,105.0,0.6896830000025607
148,610,8.0,120.0,0.6878530000025758
149,676,7.0,95.0,0.6858250000025925
150,616,6.0,105.0,0.6839770000026077
151,384,5.0,55.0,0.6828250000026173
152,642,9.0,130.0,0.6808990000026331
153,357,5.0,75.0,0.679828000002642
154,619,7.0,110.0,0.6779710000026573
155,511,5.0,75.0,0.67643800000267
156,1317,22.0,550.0,0.6724870000027026
157,753,8.0,120.0,0.6702280000027212
158,537,5.0,55.0,0.6686170000027345
159,634,9.0,135.0,0.6667150000027502
160,791,10.0,155.0,0.6643420000027698
161,361,5.0,65.0,0.6632590000027787
162,394,9.0,95.0,0.6620770000027885
163,785,10.0,140.0,0.6597220000028079
164,620,9.0,135.0,0.6578620000028232
165,1420,18.0,270.0,0.6536020000028584
166,405,4.0,50.0,0.6523870000028684
167,704,10.0,130.0,0.6502750000028859
168,811,16.0,215.0,0.6478420000029059
169,667,11.0,180.0,0.6458410000029224
170,682,6.0,105.0,0.6437950000029393
