Pong
Episode Number,Episode Steps,Reward,Score,Epsilon
1298,2926,-5.0,-5.0,0.05
1299,3162,-3.0,-3.0,0.05
1300,3124,5.0,5.0,0.05
1301,3121,-4.0,-4.0,0.05
1302,3060,-10.0,-10.0,0.05
1303,2743,-8.0,-8.0,0.05
1304,2961,-5.0,-5.0,0.05
1305,2705,-8.0,-8.0,0.05
1306,2446,-9.0,-9.0,0.05
1307,3144,-1.0,-1.0,0.05
1308,2966,-7.0,-7.0,0.05
1309,2883,-5.0,-5.0,0.05
1310,2794,-6.0,-6.0,0.05
1311,2773,-9.0,-9.0,0.05
1312,2949,-9.0,-9.0,0.05
1313,2493,-11.0,-11.0,0.05
1314,2420,-8.0,-8.0,0.05
1315,2708,-11.0,-11.0,0.05
1316,3085,-10.0,-10.0,0.05
1317,3269,-4.0,-4.0,0.05
1318,2311,-13.0,-13.0,0.05
1319,2516,-8.0,-8.0,0.05
1320,3060,-6.0,-6.0,0.05
1321,2997,-9.0,-9.0,0.05
1322,2607,-10.0,-10.0,0.05
1323,2961,-9.0,-9.0,0.05
1324,2771,-9.0,-9.0,0.05
1325,2720,-10.0,-10.0,0.05
1326,2700,-10.0,-10.0,0.05
1327,2561,-11.0,-11.0,0.05
1328,2517,-8.0,-8.0,0.05
1329,2700,-10.0,-10.0,0.05
1330,3570,-6.0,-6.0,0.05
1331,3114,-7.0,-7.0,0.05
1332,2691,-8.0,-8.0,0.05
1333,2742,-6.0,-6.0,0.05
1334,2747,-7.0,-7.0,0.05
1335,1702,-14.0,-14.0,0.05
1336,3065,-2.0,-2.0,0.05
1337,2527,-10.0,-10.0,0.05
1338,2780,-6.0,-6.0,0.05
1339,2931,-3.0,-3.0,0.05
1340,2546,-6.0,-6.0,0.05
1341,2616,-7.0,-7.0,0.05
1342,2122,-12.0,-12.0,0.05
1343,2825,-8.0,-8.0,0.05
1344,2813,-7.0,-7.0,0.05
1345,3093,-4.0,-4.0,0.05
1346,2866,-6.0,-6.0,0.05
1347,3053,-5.0,-5.0,0.05
1348,2140,-12.0,-12.0,0.05
1349,2304,-9.0,-9.0,0.05
1350,3075,-4.0,-4.0,0.05
1351,2212,-11.0,-11.0,0.05
1352,2608,-5.0,-5.0,0.05
1353,2421,-8.0,-8.0,0.05
1354,3181,-1.0,-1.0,0.05
1355,3091,-3.0,-3.0,0.05
1356,3004,-4.0,-4.0,0.05
1357,3358,-1.0,-1.0,0.05
1358,2358,-10.0,-10.0,0.05
1359,3108,-6.0,-6.0,0.05
1360,2886,-6.0,-6.0,0.05
1361,3344,-8.0,-8.0,0.05
1362,3529,-1.0,-1.0,0.05
1363,3791,-3.0,-3.0,0.05
